id,name,summary,difficulty,stars,star_votes,location,url,length,ascent,descent,high,low,longitude,latitude,cond_status,cond_details,cond_date,index
7031944,Eagles Peak Trail,"A moderately difficult trail up to Eagles Peak, with a fantastic view of the Unites States Air Force Academy.",blueBlack,4.4,11,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,1.6,1843,-15,9325,7482,-104.9034,39.007,Unknown,,1970-01-01 00:00:00,33.0
7048782,Pulpit Ridge Loop,A less-used trail in an extremely popular network.,blue,5.0,2,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,1.0,252,-192,6611,6366,-104.8039,38.9069,Unknown,,1970-01-01 00:00:00,34.0
7084955,Butterfly Canyon,A short canyon trail offering interesting geological views above and below.,blue,5.0,2,"Ogallala, Nebraska",https://www.hikingproject.com/data/,0.1,39,0,3215,3175,-101.6488,41.2052,All Clear,"Mostly Dry: A few rocks in the trail, but are no problem to get around.",2019-08-07 07:55:30,35.0
7043726,Prairie Loop Trail,Prairie Loop Trail at High Chaparral Open Space,greenBlue,5.0,1,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,1.5,142,-100,6862,6761,-104.721,38.9046,Unknown,,1970-01-01 00:00:00,36.0
7053927,Wicked Ridge,This is the best-known trail at Potter's Pasture.,blueBlack,5.0,1,"Gothenburg, Nebraska",https://www.hikingproject.com/data/,0.6,0,-165,2988,2823,-100.4096,40.8766,Unknown,,1970-01-01 00:00:00,37.0
7053574,Geology Trail,A short half mile trail that passes several geology attractions.,greenBlue,5.0,1,"Ogallala, Nebraska",https://www.hikingproject.com/data/,0.2,10,-6,3218,3208,-101.6458,41.2084,Unknown,,1970-01-01 00:00:00,38.0
7043725,Ridgetop Trail,Ridgetop Trail,green,5.0,1,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,0.5,29,-35,6850,6820,-104.7262,38.9095,Unknown,,1970-01-01 00:00:00,39.0
7037207,Feather Rim Trail,"A must-do Glendo route that is fun, and a bit rugged!",black,5.0,1,"Glendo, Wyoming",https://www.hikingproject.com/data/,3.5,459,-416,4904,4555,-104.9401,42.4661,Unknown,,1970-01-01 00:00:00,40.0
7080146,Pronghorn Trail,A relaxed hike through gently rolling prairie.,green,5.0,1,"Dove Valley, Colorado",https://www.hikingproject.com/data/,2.0,116,-93,5817,5735,-104.66,39.6494,Unknown,,1970-01-01 00:00:00,41.0
7084306,Saddle Rock Trail,"Amazing climb highlighting everything Scotts Bluff offers. Features a tunnel, numerous views, history, and geology.",black,5.0,1,"Gering, Nebraska",https://www.hikingproject.com/data/,1.7,608,-111,4634,4108,-103.7071,41.8286,Unknown,,1970-01-01 00:00:00,42.0
7056913,Jim MacAllister Nature Trail,An easy trail that represents Nebraska’s nature and beauty.,greenBlue,5.0,1,"Valentine, Nebraska",https://www.hikingproject.com/data/,1.5,211,-215,2452,2269,-100.3118,42.891000000000005,Unknown,,1970-01-01 00:00:00,43.0
7027338,Scrub Oak Path,A short connector trail from the valley to Ute Park's hogsback ridge.,greenBlue,5.0,1,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,0.4,119,0,6564,6445,-104.8509,38.9134,Unknown,,1970-01-01 00:00:00,44.0
7084247,South Overlook Trail,"Short, paved walkway overlooking historical Mitchell Pass and South Bluff.",green,5.0,1,"Terrytown, Nebraska",https://www.hikingproject.com/data/,0.1,1,-47,4608,4560,-103.7002,41.8366,Unknown,,1970-01-01 00:00:00,45.0
7063513,Sod Village Trail,An easy hike down a wide path to the PCC's Sod Village. It is accompanied by a self-guided tour for a small fee.,green,5.0,1,"Aurora, Colorado",https://www.hikingproject.com/data/,0.5,2,-39,5779,5740,-104.7365,39.6558,Unknown,,1970-01-01 00:00:00,46.0
7084248,North Overlook Trail,"Short, paved trail overlooking Scottsbluff, Nebraska, and the North Platte River.",greenBlue,5.0,1,"Terrytown, Nebraska",https://www.hikingproject.com/data/,0.2,17,-155,4630,4475,-103.7001,41.8373,Unknown,,1970-01-01 00:00:00,47.0
7084435,Guernsey Ruts Trail,"Short, paved trail viewing a cut in the rock where the Oregon Trail once ran through.",green,5.0,1,"Guernsey, Wyoming",https://www.hikingproject.com/data/,0.4,47,-47,4391,4344,-104.749,42.257,Unknown,,1970-01-01 00:00:00,48.0
7010729,Spruce Mountain Trail,"Spruce Mountain is a large, tree-covered mesa that is visible from Interstate I-25.",greenBlue,3.7,26,"Monument, Colorado",https://www.hikingproject.com/data/,4.0,549,-177,7626,7122,-104.8748,39.1679,All Clear,Dry,2019-09-02 07:58:04,49.0
7012904,Inner Canyon Trail,To be written,greenBlue,4.6,9,"Castle Rock, Colorado",https://www.hikingproject.com/data/,1.1,187,-10,6597,6420,-104.7565,39.34,All Clear,"Mostly Dry, Some Mud",2019-09-07 11:29:32,50.0
7015536,Stanley Canyon Trail #707,A challenging hike along Stanley Creek to Stanley Reservoir.,blueBlack,4.1,15,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,1.6,1326,0,8747,7421,-104.8985,38.9892,Unknown,,1970-01-01 00:00:00,51.0
7006117,Mount Herman,A nice trail leading to the summit of Mount Herman.,blue,4.1,15,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,1.1,904,0,9063,8158,-104.932,39.0712,Unknown,,1970-01-01 00:00:00,52.0
7028472,Bluffs Regional Park Trail,"A mostly winding, double-wide trail with a good mix of elevation gains. This route is a great mid distance hike.",greenBlue,4.1,14,"Carriage Club, Colorado",https://www.hikingproject.com/data/,2.6,349,-334,6268,6052,-104.8867,39.5285,Unknown,,1970-01-01 00:00:00,53.0
7017795,Ice Cave Creek Trail,Nice new trail in the Palmer Lake area that follows a boulder-strewn canyon.,blue,4.4,5,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,0.9,26,-240,7844,7630,-104.94200000000001,39.1223,Unknown,,1970-01-01 00:00:00,54.0
7015504,Falcon Trail,A loop trail through the interior of the Air Force Academy with awesome views!,blueBlack,4.5,6,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,13.2,1402,-1400,7406,6648,-104.8928,38.9999,Unknown,,1970-01-01 00:00:00,55.0
7033400,Chautauqua Trail,This is a cool but challenging alternative ridge route for hikers who want to avoid the crowds on Balanced Rock Rd.,blueBlack,4.3,9,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,2.3,1364,-442,8369,7230,-104.9212,39.1187,Unknown,,1970-01-01 00:00:00,56.0
7028479,Perkins Central Garden Trail,An easy and accessible path from the main parking area past the park's main sights.,green,4.7,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.8,40,-89,6457,6408,-104.8802,38.8809,Unknown,,1970-01-01 00:00:00,57.0
7006841,Edna Mae Bennet Nature Trail,A nice trail in Palmer Park.,blueBlack,4.7,3,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,0.6,125,-88,6499,6375,-104.7757,38.8791,Unknown,,1970-01-01 00:00:00,58.0
7055272,Stewart Trail,A trail with outstanding views of the Front Range from a conveniently located open space in Castle Rock.,blue,4.4,8,"Castle Rock, Colorado",https://www.hikingproject.com/data/,10.1,889,-874,6603,6416,-104.8936,39.3787,All Clear,Dry,2019-10-20 15:02:14,59.0
7018604,Mt. Cutler Trail,"The abundance of rubbish on this trail is very unflattering, which makes the short trail unworthy of the venture.",greenBlue,3.6,23,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,1.1,414,-73,7145,6733,-104.8871,38.7918,All Clear,Dry,2019-07-22 19:33:20,60.0
7006837,Templeton Trail,The hardest of the Palmer Park loops.,blueBlack,4.1,13,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,3.8,488,-489,6561,6399,-104.7816,38.8803,Unknown,,1970-01-01 00:00:00,61.0
7011142,Creek Bottom Trail,"A mellow, rolling trail along Cherry Creek with views of the cliffs and caves from below.",greenBlue,4.5,4,"Castle Rock, Colorado",https://www.hikingproject.com/data/,1.8,288,-50,6416,6178,-104.7649,39.3579,Unknown,,1970-01-01 00:00:00,62.0
7005725,Blodgett Peak,A pretty steep hike to the peak with incredible views of the mountains and prairie.,black,3.9,13,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,2.3,2130,-3,9244,7117,-104.8864,38.949,Unknown,,1970-01-01 00:00:00,63.0
7006923,Limbaugh Canyon Trail,A moderate to strenuous trail through Limbaugh Canyon.,blue,4.1,10,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,5.3,730,-1576,8407,7383,-104.9344,39.0717,Minor Issues,"Very Grown In, Tons of wildflowers!",2019-08-01 22:12:09,64.0
7044811,Quarry Pass Trail,This cool trail visits an abandoned quarry on one of the park's largest rock formations.,blueBlack,4.5,2,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.8,14,-102,6408,6307,-104.8878,38.8452,Unknown,,1970-01-01 00:00:00,65.0
7010811,Kipps Loop Trail,Kipps Loop climbs up to the saddle of Greenland Open Space with outstanding views of Pikes Peak.,greenBlue,4.5,2,"Palmer Lake, Colorado",https://www.hikingproject.com/data/,3.8,248,-406,7350,6994,-104.8887,39.1409,Unknown,,1970-01-01 00:00:00,66.0
7085225,Red Mountain Trail,"All singletrack. Difficult to hike up, difficult to hike down. steep. Great hiking trail. The view at the top is amazing.",black,4.5,2,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.7,636,-11,7309,6685,-104.9226,38.855,All Clear,windy,2019-10-20 17:32:34,67.0
7002737,Intemann Trail,A rolling trail that connects all of the amazing trails in Colorado Springs to those in Manitou.,blue,4.3,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,5.3,1245,-886,7022,6463,-104.9288,38.8568,Unknown,,1970-01-01 00:00:00,68.0
7024419,Lake Gulch,Needs summary and description.,greenBlue,4.1,8,"Castle Rock, Colorado",https://www.hikingproject.com/data/,0.9,3,-194,6606,6413,-104.7449,39.3334,All Clear,"Mostly Dry, Some Mud",2019-09-07 11:29:42,69.0
7009520,Star K Ranch Loop,Quick loop through the Star K Ranch nature area.,greenBlue,4.3,3,"Aurora, Colorado",https://www.hikingproject.com/data/,0.7,10,-8,5383,5375,-104.803,39.7509,Unknown,,1970-01-01 00:00:00,70.0
7044786,Contemplative Trail,This is a nice trail to get close to the park's red rock formations.,green,4.3,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.5,148,0,6391,6244,-104.8844,38.8514,Unknown,,1970-01-01 00:00:00,71.0
7028481,Garden Drive Trail,A paved trail connecting the Gateway Trail to the Perkins Central Garden Trail.,green,4.3,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.2,29,0,6406,6377,-104.87799999999999,38.8772,Unknown,,1970-01-01 00:00:00,72.0
7018605,Muscoco Trail,"Easily accessible from Colorado Spings, with views of the city and 360° mountain views from the top.",blue,3.8,10,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,1.4,941,-17,7964,7040,-104.8793,38.7882,All Clear,Dry,2019-07-22 19:33:20,73.0
7003600,Bear Creek Trail (#666),A steep trail following Bear Creek and connecting High Drive to Jones Park.,blueBlack,4.0,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.4,247,0,7340,7094,-104.9039,38.8097,All Clear,Dry,2019-07-22 19:33:20,74.0
7035240,Dawson Butte Open Space Trail,A five-mile loop through forested areas with open meadows and views of the Front Range Mountains.,green,3.7,12,"Perry Park, Colorado",https://www.hikingproject.com/data/,5.0,398,-405,6841,6531,-104.921,39.2949,All Clear,Dry,2019-10-20 22:32:18,75.0
7051513,Pawnee Buttes Trail,Hike to two buttes out on the plains.,greenBlue,3.9,8,"Pine Bluffs, Wyoming",https://www.hikingproject.com/data/,2.3,149,-207,5308,5143,-103.9892,40.8082,All Clear,,2019-09-10 12:52:34,76.0
7016810,Fountain Creek Regional Trail,Hard packed gravel trail on the banks of Fountain Creek.,green,4.0,4,"Stratmoor, Colorado",https://www.hikingproject.com/data/,10.7,196,-408,5804,5543,-104.7818,38.7923,Unknown,,1970-01-01 00:00:00,77.0
7006843,Penrose Trail (#665),"A steady downhill trail that is also known as ""Lower Captain Jack's Trail"".",blue,4.0,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,2.4,33,-699,7858,7188,-104.8995,38.8005,All Clear,Dry,2019-07-22 19:33:20,78.0
7012602,Nelson's Trail (#672),"A steep steady climb that is heavily rooted, rutted, and rocky, giving access to Mount Rosa Summit Trail (#673).",black,4.0,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,2.3,758,-1144,10980,9943,-104.962,38.763000000000005,Unknown,,1970-01-01 00:00:00,79.0
7009351,Bluff Lake Trail,A short gravel loop around Bluff Lake.,green,4.0,3,"Aurora, Colorado",https://www.hikingproject.com/data/,1.3,42,-84,5345,5288,-104.8575,39.7581,All Clear,"Dry, Mostly Dry - Great place to run or walk",2019-07-24 09:32:54,80.0
7028469,Gateway Trail,A trail connecting the visitor center to the main area of Garden of the Gods.,green,4.0,3,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.4,55,-22,6369,6314,-104.8715,38.8788,Unknown,,1970-01-01 00:00:00,81.0
7009642,Palmer Trail,"This is one of the more popular trails within the Garden of the Gods, and it's easy to see why!",greenBlue,3.8,6,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,1.8,232,-277,6589,6354,-104.8777,38.881,Unknown,,1970-01-01 00:00:00,82.0
7003170,Palmer Point Trail,Needs adoption!,blueBlack,4.0,3,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,1.6,77,-118,6394,6327,-104.7737,38.8878,Unknown,,1970-01-01 00:00:00,83.0
7048778,Pulpit Rock Trail,Something for everyone!,greenBlue,4.0,2,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,0.6,230,0,6504,6274,-104.8126,38.9072,All Clear,Dry,2019-10-06 11:44:27,84.0
7056856,Aurora Reservoir Perimeter Trail,"This is an open, wide, flat, non-shaded multi-use path around Aurora Reservoir.",green,4.0,2,"Dove Valley, Colorado",https://www.hikingproject.com/data/,8.2,139,-139,5963,5923,-104.6772,39.6096,Unknown,,1970-01-01 00:00:00,85.0
7066755,The Chutes,Needs Summary,blueBlack,4.0,2,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,1.0,425,0,7002,6577,-104.8692,38.7956,All Clear,Dry,2019-07-22 19:33:20,86.0
7006839,Cheyenne Trail,Nice trail in the middle of an urban setting.,blue,4.0,2,"Cimarron Hills, Colorado",https://www.hikingproject.com/data/,1.0,152,-157,6533,6390,-104.7754,38.8736,Unknown,,1970-01-01 00:00:00,87.0
7002887,Red Rock Canyon Trail,Main trail through Red Rock Canyon Open Space.,greenBlue,4.0,2,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,1.1,227,0,6436,6209,-104.87799999999999,38.8517,Unknown,,1970-01-01 00:00:00,88.0
7053477,Diffendal Loop,"Cedar Point's most popular scenic trail, which includes several geology sites.",blueBlack,4.0,2,"Ogallala, Nebraska",https://www.hikingproject.com/data/,2.0,355,-316,3351,3165,-101.6476,41.2096,Minor Issues,Dry: There are many trees on the path.,2019-08-07 11:27:21,89.0
7006543,Rim Loop Trail,"A fun, short loop with some challenging obstacles close to Denver.",greenBlue,4.0,2,"Castle Rock, Colorado",https://www.hikingproject.com/data/,2.6,113,-84,6509,6444,-104.8031,39.4056,All Clear,Dry,2019-09-15 14:43:12,90.0
7053474,Baxa Trail,"0.8 miles long. Starts at Baxa House, a sustainable cabin built from local redcedar trees. Ends at solar panel/well.",blue,4.0,2,"Ogallala, Nebraska",https://www.hikingproject.com/data/,0.8,170,-9,3352,3182,-101.6467,41.208,Minor Issues,"Dry - A few trees block the beaten path, but are easy to get around.",2019-08-02 12:30:44,91.0
7028477,Three Graces Loop,A paved and accessible loop around the Three Graces and Cathedral Spires rock formations.,green,4.0,2,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.3,27,-27,6460,6433,-104.8822,38.8765,Unknown,,1970-01-01 00:00:00,92.0
7053476,Boat Shed Trail,Starts at the boat shed along Ogallala Lake and later connects with Diffendal Loop to exit out of gate near Boys Cabin.,greenBlue,4.0,2,"Ogallala, Nebraska",https://www.hikingproject.com/data/,0.3,87,0,3218,3131,-101.647,41.2106,All Clear,Dry,2019-08-08 15:12:19,93.0
7027339,Pine Ridge Trail,A trail following along Ute Valley Park's hogsback ridge.,blue,4.0,2,"Air Force Academy, Colorado",https://www.hikingproject.com/data/,0.8,24,-66,6592,6526,-104.8561,38.9127,Unknown,,1970-01-01 00:00:00,94.0
7043289,Templeton - Edna Connector,"A steep, rocky connector between the Templeton Trail and the Edna Mae Bennet Nature Trail.",dblack,4.0,2,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,0.3,3,-128,6516,6388,-104.7816,38.8803,Unknown,,1970-01-01 00:00:00,95.0
7010867,Blue Loop and Challenge Hill,Challenge Hill is a 200-step climb up the face of the mountain.,blueBlack,3.7,7,"Castle Rock, Colorado",https://www.hikingproject.com/data/,0.6,135,-157,6569,6413,-104.8787,39.3678,Unknown,,1970-01-01 00:00:00,96.0
7032979,Pipeline Trail (#668),"Enjoy a splendid, forested hillside alongside North Cheyenne Creek.",blueBlack,4.0,1,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,2.9,1161,-32,10211,9081,-104.9438,38.7877,Unknown,,1970-01-01 00:00:00,97.0
7056654,Cottonwood Creek Trail,Tier One Trail with access to Pikes Peak Greenway/New Santa Fe Regional Trail and other smaller trails.,greenBlue,4.0,1,"Colorado Springs, Colorado",https://www.hikingproject.com/data/,7.4,687,-23,6923,6259,-104.8148,38.927,Unknown,,1970-01-01 00:00:00,98.0
7028484,Ridge Trail,"A ""lollipop"" shaped trail that offers less-visited views.",greenBlue,4.0,1,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,0.3,69,-34,6479,6410,-104.8786,38.8702,Unknown,,1970-01-01 00:00:00,99.0
7044785,Sand Canyon Trail,This easy trail takes you up close to the red rock hogbacks.,greenBlue,4.0,1,"Manitou Springs, Colorado",https://www.hikingproject.com/data/,1.7,424,-1,6604,6180,-104.8814,38.8535,Unknown,,1970-01-01 00:00:00,100.0
